"lambda","mu","jsf_rmse","gillespie_rmse"
0.4,0.2,1.25951157108152,1.31097769727432
0.4,0.6,1.50463559990732,1.58104299519243
0.4,1,1.30397225686791,1.25032771752957
0.4,1.4,0.982565619061341,1.70774659760541
0.8,0.2,1.62514751729263,3.77402043963174
0.8,0.6,1.49283496051783,3.9253852109463
0.8,1,1.51162735389047,4.61116611123976
0.8,1.4,1.6063631638115,2.37161505185227
1.2,0.2,6.74846754248903,12.2738680504752
1.2,0.6,2.54325835174159,5.13153332941916
1.2,1,2.03486997504354,6.57595835730368
1.2,1.4,2.76351000884495,8.6322599093882
1.6,0.2,6.65504714485741,9.75140145076712
1.6,0.6,7.42083330227241,10.102808174874
1.6,1,4.11496703417924,8.00379511168126
1.6,1.4,1.82805331822788,9.30364069919569
